"filename","failed_anlysis","CHATTY_SERVICE","CYCLIC_DEPENDENCY","DATA_SERVICE","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CYCLIC_DEPENDENCY_ns","DATA_SERVICE_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"Assignment06_transformed.graphml","0","0","0","0","0","1","0","0","0","0","0","0","0","0","10202400","10143100","10280900","10067700","10122700","10342500","10389800","10191500","19586000","122458600","122282200","10099000","10027500","8","10","26100"
"Association Table Mapping_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10132300","10106300","10109000","10082000","10082300","10083900","10755100","9985100","19477400","10118900","15447300","10223900","10083700","0","0","1329"
"Auditoria_transformed.graphml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10165800","10099900","10346100","10337900","10359400","10200100","10126900","10043300","19644300","47802600","47896600","10280100","10106500","6","5","16808"
"BA_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","1","0","10223300","10068000","10109100","10161700","10096900","10219800","10276100","10152700","19898800","10398300","10205400","10114800","10083800","14","0","21092"
"Big Brother_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10062500","10040400","10071900","10136000","10096400","10102700","10391600","10365500","19803800","10220000","10105300","10057700","10060700","0","0","1329"
"BPM Landscape Type 1_transformed.graphml","0","1","0","0","0","1","0","0","0","0","0","0","0","0","10354500","10162300","10197400","10005200","10154100","10215700","10132100","10011400","20642400","10252800","10078100","10038700","25473400","9","15","33704"
"Business-Functions_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","0","10353800","10263500","10227700","10047600","10064700","10064600","10112300","10294600","20535500","519517700","515984800","10305400","10188100","28","51","107761"
"C2_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10117300","10059000","10253000","10305000","10279800","10186100","10115500","10056400","19784200","10180200","10121400","10064600","10035600","16","29","62372"
"Class Table Inheritance_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17350400","10301500","10512500","10184400","10204700","10096200","10038600","10030500","19606100","10176300","10073400","10099600","10031300","0","0","1329"
"Client Session State_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16569400","10259500","10536800","10150600","10063300","10033800","10173200","10066000","19546800","10262400","10182700","10045400","10002700","0","0","1329"
"ClientBM_transformed.graphml","0","0","0","0","1","1","0","0","0","1","1","1","0","0","10447100","10674000","10258900","10259500","10292200","10292200","10097900","10042700","20997100","275906100","276837800","10383200","10180100","84","100","250282"
"Cloud Computing_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","15756300","10227100","10602400","10346200","10364100","12993200","10087300","10014500","19786900","10146300","10071300","9995300","10007000","5","6","16229"
"Coarse-Grained Lock_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16576900","10219700","10519700","10341500","10269400","10137500","10166000","10040800","19485700","10080900","10089800","10040700","10087900","0","0","1329"
"CoffeeNow_transformed.graphml","0","0","1","0","1","1","0","0","1","1","1","1","0","0","10743400","10947000","10371600","10271300","10087100","10098300","10194600","10130600","22075500","519841100","555604800","10505200","10571800","75","96","233449"
"ComponentesAU_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","0","16118300","10593400","10710100","10371500","10464400","10452300","11740000","10868700","19987900","66906800","66908600","10418900","10405100","5","7","17907"
"ComponentesNotification_transformed.graphml","0","0","1","0","1","1","1","0","0","1","0","0","0","0","15505100","11068000","10691800","10400700","10399100","10571700","10293700","10189700","20279300","66581400","66730200","10741000","10182000","28","27","76315"
"Concrete Table Inheritance_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16493700","10207700","15298900","10262300","10126900","25478200","10383000","10311000","19645200","10109500","10033500","10173100","10272100","0","0","1329"
"Create_resource_transformed.graphml","0","0","0","0","0","1","1","0","0","1","0","0","0","0","15889700","10424200","10802400","10428100","10302000","10308100","10220800","10235300","19905200","10177900","10076300","10073700","10146100","11","12","33001"
"Dansk på norsk_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","1","0","10476000","11066500","10319800","10278600","10229600","10227200","10172800","10052500","21398300","10257300","10191400","10536100","10361000","95","77","280465"
"Data API Source_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","15885000","10281200","10730600","10214700","10141900","10707800","10120400","10038900","19763000","47689800","47685000","10126800","10024000","11","14","34534"
"Data Catalogue_transformed.graphml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","15894700","10559000","10458200","10188300","10252900","10378800","10440400","10345000","21527700","10410900","10381000","10276200","10315900","8","0","12873"
"Data Mapper_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16877700","10726800","10608100","10372500","10375200","12115600","10436200","10412400","19878200","10549700","10466800","10322300","10335600","0","0","1329"
"Data Transfer Object_transformed.graphml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","16606800","10478200","10792500","10415200","10373100","10297200","10331600","10279700","19856300","10352800","10368100","10457500","10322900","4","0","7158"
"Database Session State_transformed.graphml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","16185700","10249900","10517000","10157100","10133700","10073500","10095500","10025100","19676700","10256300","10247100","10061200","10009100","1","0","3045"
"Database Source_transformed.graphml","0","0","0","1","0","1","0","0","0","1","0","0","0","0","15833300","10262700","10634500","10185200","10083900","10351800","10096400","10117800","19796000","10220200","10245000","10142000","10041900","7","10","23974"
"dependency injection_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","1","15784000","10351300","10549200","10137400","10144000","10120200","10239900","10228300","20109300","291711900","292007500","10245900","10335200","25","28","72104"
"Dependent Mapping_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16639100","10258300","10501800","10269800","10176100","10061400","10041200","10285900","19565900","10142700","10099400","10166600","10086400","0","0","1329"
"deployments_transformed.graphml","0","0","0","1","1","0","0","0","0","1","0","0","0","0","10643500","10688400","10482500","10679600","10323900","10300600","10246500","10231200","46760600","10396000","10328900","10249900","10140300","109","34","190673"
"Deployment_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","1","0","1","10466900","10325300","10777100","10335300","10198000","10203600","10188100","10180800","21869000","498273800","496732300","10160900","10185400","83","55","184199"
"design patterns overview_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16830700","10243600","10426600","10705100","10371300","10229600","10242000","10179000","19687100","10218900","10121300","10175800","10388900","0","0","1329"
"DeviceReader_transformed.graphml","0","0","0","0","1","1","0","0","0","1","1","1","0","0","15938500","10322600","10466800","10139300","10175800","10179800","10195000","10101200","20028400","253861800","271476900","10268900","10138600","21","24","62617"
"DiagramaDeDespliegue_transformed.graphml","0","1","1","1","1","1","0","1","1","1","1","1","0","0","11184300","11681400","10413100","10306100","10521200","10570600","10694700","10724100","70634700","967002600","1001792100","10348800","10241900","226","385","820823"
"DiagramasArchi_transformed.graphml","0","0","0","0","1","1","1","0","0","1","1","1","0","0","10560400","10920100","10464100","10264000","10610500","10755300","10275500","10256000","22322400","1307486300","1330935500","10216700","23624500","108","157","359183"
"Difi internt_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","16057500","10265700","10674500","10418000","10256900","10161500","10098000","10108800","19948300","10340900","10247300","10235100","10521800","23","0","33456"
"DLR-NVA_transformed.graphml","0","1","0","0","0","1","1","0","0","1","0","0","0","0","11515700","15605400","10691500","10481000","10629000","12555000","10476000","10226700","32100000","10800200","10436900","10511600","10310700","41","76","160226"
"DMS light_transformed.graphml","0","0","0","0","1","1","0","1","1","1","0","1","0","0","10564900","10370500","10608500","10308900","10323200","10263400","18494300","10337000","21566700","331663300","347755700","10128600","10021800","29","41","95893"
"docker-swarm_transformed.graphml","0","0","1","1","1","0","1","0","1","1","0","0","0","1","10498300","10861500","10624600","11154700","10220700","10293900","10205500","10417700","152768700","10551100","10332200","10258700","22846600","137","26","218281"
"Domain Model_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17121900","10401900","10742800","10609700","10437300","10403600","10496000","10388300","19931400","10447000","10368600","10320600","10326000","0","0","1329"
"EKOODI-suunnittelumallit_transformed.graphml","0","0","0","0","1","1","0","0","0","1","1","1","0","0","15659200","10443600","10641700","10435900","10354500","10375800","10478300","10496100","20277800","403851000","403178100","10454100","10281000","37","49","113730"
"Embedded Value_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16619000","10265800","10479300","10212800","10182700","10196900","10061600","10023700","19538700","10109100","10045900","10003000","9999200","0","0","1329"
"Enterprise dApp Reference Model1_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","16191900","10251500","10581100","10192500","10101700","10375000","10149000","10121200","19711300","10210500","10099000","9978500","10044700","4","0","7311"
"Enterprise dApp Reference Model2_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","16433500","10367500","10767200","10243500","10189000","10030100","10095300","10084800","19743000","10326900","10236800","10128700","10055700","4","0","7311"
"enterprise pattern template_transformed.graphml","0","0","0","0","1","1","0","0","0","1","0","1","0","0","15923000","10272400","10506700","10159800","10094200","10038400","10107300","10095900","19740600","141067800","141319800","10161600","10014000","9","9","25185"
"enterprise patterns overview_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24820100","10332900","10476100","10119200","10080400","10015000","10017700","10069000","19655800","10281300","10415100","10275200","10191000","0","0","1329"
"epp-price_transformed.graphml","0","0","0","1","1","1","0","0","0","1","1","1","0","0","10269000","10739300","10385200","10255900","10126000","10097700","10081400","10043000","20725700","574203900","571201500","10298000","10211200","56","71","172024"
"Essential_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10080300","10107500","10161200","10255100","10338100","10379500","10154000","10063500","19531100","10346300","10283400","10199100","10148400","0","0","1329"
"Ethereum_transformed.graphml","0","0","0","0","1","1","0","0","1","1","0","1","0","0","10521800","10281200","10131300","10147800","10224900","10120900","10131000","10146000","20298900","404374600","422146700","10200100","10095700","54","54","147247"
"Example extension by specialisation_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10377300","10303000","10359600","10218100","10193900","10242000","10187300","10046700","19837500","10311400","10165200","10015900","10014400","0","0","1329"
"FastClaim_transformed.graphml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10197000","10187300","10120600","10123100","10097600","10125500","10064400","10089900","19744200","10241600","10158500","10036500","10059600","5","4","13619"
"Foreign Key Mapping_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10114400","10045000","10158100","10007700","10081600","10066400","10037500","10048500","19509900","10246700","10104600","10011600","9972300","0","0","1329"
"Front Controller_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10073000","10009700","10008600","10150300","10115600","10051200","10032600","10149600","19728400","10148000","10239700","10225300","10351500","0","0","1329"
"Gambo_transformed.graphml","0","0","0","0","1","1","0","0","0","1","0","1","0","0","10437000","10495700","10563800","10470100","10434900","10344200","10361500","10455800","20611100","554914700","552504100","10196800","10067200","55","58","153855"
"GateKeeper_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","10107200","10086900","10202800","10378200","10347400","10132000","10082600","10046900","20360500","10453900","10099400","10095000","10074500","18","3","29920"
"Gateway_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10035700","12913400","10031600","9993500","10037600","10025000","10026400","10107400","19630800","23346800","10164500","10097900","9994900","0","0","1329"
"GroundUpDB_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"gsip link data broker_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"gsip linked data store_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"gsip_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HealthDB_transformed.graphml","0","0","0","0","1","1","0","0","0","1","0","1","0","0","10114800","10106400","10220300","10111100","10119800","10036700","10033700","10006200","19702300","141067200","178668300","10136000","10030700","11","11","31258"
"IaaS_transformed.graphml","0","0","1","0","0","1","0","0","1","1","0","0","0","0","10144700","10112100","10209500","10025800","10094700","10080400","10066800","10122500","19612200","10216400","10202700","9990800","10007700","7","9","22625"
"Idea 2 Run_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10205300","10463600","10203000","10151500","10081300","10116500","10077400","10017800","19438900","10245500","10138900","10164200","10008900","0","0","1329"
"Identity Field_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10673400","10373700","12849200","14739600","13854000","12046600","11545000","10712400","21301700","11487600","11458700","11281400","10525300","0","0","1329"
"Identity Map_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10258500","10119200","10053800","10070700","10014900","10102100","10258100","10246200","19830900","10343200","10654100","10629000","10172200","0","0","1329"
"implementation-architecture_transformed.graphml","0","0","0","0","1","1","0","0","0","0","0","0","0","0","10115500","10054000","10084300","10078900","10097200","10019200","10039500","10012900","19611800","47906400","48118200","10534000","10179400","16","15","43258"
"Implicit Lock_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10259800","10100100","10055900","10046200","10164500","10224600","10231900","10213700","19618100","13358800","10347300","10328200","10484800","0","0","1329"
"InfoSec_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","1","0","0","10250600","10191100","10072000","10132200","10109000","10117500","10202800","10039800","29077400","1179384400","2424945000","10264400","10167400","140","119","359015"
"Inheritance Mappers_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10089500","10094200","10182700","10166900","10231700","10105100","10083400","10123100","19737000","10266400","10303500","10387400","24253200","0","0","1329"
"integration of bouded contexts through database _transformed.graphml","0","0","1","1","0","1","0","0","0","1","0","1","0","0","10344500","10341600","10485800","10237000","10371500","10359000","10350500","10359600","22533800","670897500","632950700","10362500","10273400","56","111","217560"
"Integration of bouded contexts through flat files_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","0","0","10344300","10409400","10407600","10295900","10334700","10232300","10234600","10164300","22737200","632059200","630533200","10294500","10191100","54","107","209457"
"Internet Object_transformed.graphml","0","0","0","0","0","1","0","0","1","1","0","0","0","0","10406500","10192100","10219000","10133000","10115300","10059600","10046200","10072200","19822900","85154500","85140400","10068500","10122200","11","12","31984"
"Inversion of Control_transformed.graphml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10188600","10177400","10218500","10144800","10158700","10199100","10223200","10141300","19860200","10204300","10457300","10208300","10202700","4","2","9701"
"IPFS_transformed.graphml","0","0","0","0","0","1","0","0","1","1","0","1","0","0","10178000","10151300","10153600","22634200","10243800","10123900","10186500","10251700","20378500","572557800","574827000","10339000","10361600","36","56","124859"
"ist_analyse0.7_transformed.graphml","0","0","1","1","1","1","0","1","0","1","1","1","0","0","10316800","10566300","10267000","10121300","10085100","10069500","10220500","10273100","20558000","1075140500","1148869200","10252900","10171000","70","134","275272"
"ITPro2020Spring_transformed.graphml","0","0","0","0","1","0","0","0","1","1","0","0","0","0","10230400","10108800","10161700","10139500","10052200","10327000","10009100","10016400","21273500","217749000","217133200","10393100","10263700","59","32","126596"
"Kong_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lab1_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","1","0","0","10478500","10364200","10286000","10251900","10092500","9995800","10091300","10201400","19792700","141266400","141601000","10239800","10167200","14","10","33385"
"LaTiendecita_transformed.graphml","0","0","1","0","1","0","0","1","0","1","1","1","0","0","10429600","10648900","10322900","10392700","10123600","10091300","11936800","10557800","42560000","1090695100","1202093200","10479800","10505600","220","167","524821"
"Layer Supertype_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10383900","10285600","10123700","10043700","10087600","10130800","10065300","9988700","19535600","10145300","10121500","10072100","10077200","0","0","1329"
"Layered_Viewpoint_transformed.graphml","0","0","0","0","0","1","0","0","0","0","0","1","0","0","10222200","10153700","10182500","10099500","10086700","10094100","10126000","10051600","19624800","197637700","197564800","10125100","10027700","22","29","70350"
"Lazy Load_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10244500","10160400","10172800","10102600","10103900","10081800","10043300","10097300","19683400","10314200","10310000","10206300","10186400","0","0","1329"
"LDT_transformed.graphml","0","1","1","0","1","1","0","0","0","1","0","1","0","0","10587600","10233000","10205300","10055700","10046300","10165100","10244400","10162600","20794400","414317800","496540600","10212800","10134700","59","53","149545"
"legend_transformed.graphml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","10129400","10011000","10149300","10138500","10054200","10021200","10582800","10151300","19780100","10235400","10484800","10314800","10200300","7","0","11259"
"MAM_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10380000","11689200","10303800","10124500","10151500","10203000","10384600","10027300","19675000","10275000","10165300","10060800","10019800","10","13","31854"
"Managed Object_transformed.graphml","0","0","0","0","0","1","0","0","1","1","0","0","0","0","10176300","10088500","10186600","10033700","10069600","10067800","10382600","10034400","19734600","85221700","88331400","10192000","10106600","16","19","47674"
"Mapper_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10383500","10389100","10370900","11961800","10406100","10331000","10478400","10294100","19783900","10495300","10378700","10306600","10402300","0","0","1329"
"MDD_transformed.graphml","0","0","0","0","1","0","0","0","0","1","1","1","0","0","10266300","10148100","10678700","10162000","10168100","10217500","10040800","10047800","20843300","302439400","385728700","10172100","10016000","40","30","99443"
"MDM_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10158300","10076600","10205600","10276400","11389300","10237000","10379300","10204200","29086600","10309300","10291300","10344100","10197500","10","13","31895"
"Meldingsutveksling internt i forvaltningen_transformed.graphml","0","0","0","1","1","1","0","0","0","1","1","1","0","0","10363000","10317100","10392400","10298000","10194600","10112800","10075600","10147500","20679200","524866800","537619500","10324600","10269200","69","62","174426"
"Metadata Mapping_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10339500","10247800","10321000","10329400","10475300","10342200","10406500","10317900","19771200","10410600","10425400","10476800","10330600","0","0","1329"
"metamodel_transformed.graphml","0","0","1","0","1","1","0","0","0","0","0","1","0","0","10438500","10749100","10297400","10360200","10336300","10249100","10481900","10436600","19991800","331017700","331046300","10420700","10365400","18","34","71536"
"Microservices Design Patterns - Saga Orchestration_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","0","10328300","10263200","10168400","10178500","10220100","10219100","10165100","10043200","19624300","141079000","155686900","10314700","10323300","13","17","42091"
"Minimum_login_feature_transformed.graphml","0","1","0","0","0","1","1","0","0","1","0","0","0","0","24014800","11030100","10770000","10179600","10162400","10561300","10168200","10154000","19979000","10244200","10452100","10169000","10222100","13","17","42206"
"Mobile Computing_transformed.graphml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10459600","10384000","10338100","10216100","10250100","10196900","10132900","10125800","19660700","10187800","10331200","10381600","10332700","5","4","13637"
"Mobile Connected Device_transformed.graphml","0","0","0","0","0","1","0","0","1","1","0","0","0","0","17321100","11059600","10440800","10310600","10293500","10316800","10153400","10123500","19679400","10128300","10171300","10153500","10277300","8","11","26553"
"modelo1_transformed.graphml","0","0","0","0","1","1","0","0","0","1","1","1","0","0","10440400","10382600","10478000","10361300","10240300","10301200","10160800","10174300","26993400","609725400","633185900","10219700","10158500","110","105","294514"
"model_transformed.graphml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","10333300","10323900","10296600","10351500","10219800","10242800","10168500","10082700","19569900","10265400","10213000","10331500","10456400","1","0","3088"
"Money_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","10411200","10289600","10322000","10289500","10339400","10289700","10334900","10394000","19935000","48096200","48554200","10241500","10150600","7","5","17592"
"motivation_model_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10661200","10265900","10199800","10287400","10308100","10236900","10199500","10169400","19986900","94863500","122797800","10181300","10024200","16","22","53911"
"MyWorkspace_transformed.graphml","0","1","1","0","1","1","1","0","1","1","1","1","0","0","10640300","10693300","10548900","10424400","10217900","10589900","10517900","10315100","22437500","740403700","784792700","10390000","10261200","166","169","452315"
"needless-compass_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","0","10263800","10109600","10125400","10061200","10102400","10041500","10057800","11624700","19726600","159321700","237834800","10109300","10043700","12","11","32118"
"NEO Architecture Reference Model for .NET Developers (neo-charm)_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","10126000","10184300","10312000","10171500","10269800","10196300","10178200","10133500","19678700","10191500","10119800","10027200","9962300","5","1","10229"
"NewLightning_transformed.graphml","0","0","1","0","1","1","0","0","1","1","0","1","0","0","10317300","10632500","10156900","10071000","10150500","10172800","10096000","10148000","20896500","105139100","143702300","10487700","10429100","95","118","279777"
"NewPattern001 SaaS_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10435500","10412900","10414700","10633600","10422100","10447900","10415100","10309800","19799200","48062700","48017800","10287400","10269900","5","4","14043"
"NewPattern002 PaaS_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","0","10363500","10245400","10172500","10103200","10089700","10093000","10210700","10081400","19637600","47644800","47867200","10254100","10048600","5","4","14010"
"NewPattern003 IaaS_transformed.graphml","0","0","0","1","0","0","0","0","1","0","0","0","0","0","10154800","11501700","10210200","10081200","10082400","10043100","10038500","10034300","19624700","47793900","47811200","10294700","10299700","5","4","14027"
"NewPattern004 FromSupplierToCustomer_transformed.graphml","0","0","0","0","1","1","0","0","0","1","1","1","0","0","10212600","10315300","10181900","10139400","10164300","10081000","10088000","10290200","20961000","1168594700","1220242000","10165200","10064600","80","129","282612"
"nuevo academica_transformed.graphml","0","1","0","0","1","1","0","0","0","1","0","0","0","0","10981700","11426300","11145500","10416500","10346700","10662600","10424400","10410400","45605300","10711400","10420200","10125500","10096600","171","208","512508"
"nva_final_login_feature_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","10135800","10024100","10305800","10281300","10114200","10122500","10069200","9989700","19647100","10094200","10248000","10157000","10080600","7","3","15459"
"oas-core_transformed.graphml","0","0","0","0","1","1","0","0","0","1","0","1","0","0","10759200","10105800","10160500","21933100","10130700","10024700","10078300","10083500","20303200","327876500","328807300","10168300","10040100","44","44","120739"
"onix_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","10147100","10132100","10078500","10102200","10180800","10064400","11435000","10021800","20261800","10306400","10871900","10160900","10068800","29","23","72037"
"OpenDRR_transformed.graphml","0","0","1","1","1","1","0","1","1","1","1","1","0","0","10265900","10520600","10298000","10336600","21830000","10411300","11216400","10462200","24314800","1511050200","1580116900","10424000","10335500","188","178","495594"
"Optimistic Offline Lock_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10740400","10193700","10377900","10202700","10808000","10054300","10018300","9996800","19585800","10388200","10378200","10252500","10234200","0","0","1329"
"Organic_Structure_transformed.graphml","0","0","0","0","1","1","0","0","0","1","0","1","0","0","10442800","10549200","10511700","10366200","10527000","10533100","10573100","10394500","20049800","282708800","293908600","10614400","10252500","16","15","43868"
"OwnBM_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","10423800","10424300","11040300","10471000","10519400","10383800","10397000","10382200","20561300","358822600","411750100","10455900","10511700","41","28","95918"
"PaaS_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","10586200","10947600","10527000","10355400","10337400","10303600","10398400","10276300","19885800","10329000","10368400","10248200","10188000","5","6","16128"
"Paczkomaty_transformed.graphml","0","0","1","1","1","1","0","1","0","1","1","1","0","0","10597100","10844800","11044300","10641300","10399100","10730500","10543900","10415600","24584800","2508738100","2806754600","10519600","10352400","235","271","689714"
"Page Controller_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10341200","10294200","10304500","10257900","10340600","10295900","10278800","10331600","19758200","10395000","10354500","10228300","10220300","0","0","1329"
"PaladinFutureDesign_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","10380200","10521800","10264800","10279500","10286200","10312900","10372900","10292000","21123300","630552300","632417000","10341600","10257400","62","111","233717"
"parser_transformed.graphml","0","0","0","0","1","1","0","0","0","1","0","1","0","1","10420500","10272100","10367300","10274500","10279400","10247000","10265100","10332600","20216900","133377200","239043600","10230100","10117800","33","35","90775"
"Pattern001 Repair and Maintenance_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10061200","10007800","10324900","10299500","10273900","10224500","10117400","10051000","19517800","10124700","10105100","10012600","10018800","0","0","1329"
"Pattern007 Border Router Security Lockdown_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","10135600","10055800","10027500","10255700","10209500","10039700","10044800","10064800","19700300","66268900","66703600","10328700","10293800","6","5","16600"
"Pattern008 Tiered Distribution_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10402500","10328300","10324200","10392600","25716100","10527000","10350100","10267400","19754700","10466100","10347900","10273500","10243600","0","0","1329"
"Pattern011 Load balanced cluster_transformed.graphml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10415200","10412700","10308100","10614600","10451900","10301500","10335500","10346800","19983400","10367400","10443500","12266300","10744700","3","2","8487"
"Pattern012 Failover Cluster_transformed.graphml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10554000","10401200","10404500","10393900","10365400","10284400","10393800","10307100","19903200","38613900","66797000","10331700","10311600","3","2","8510"
"Pattern104 Basic process architecture pattern_transformed.graphml","0","0","1","0","1","1","0","0","0","1","0","0","0","0","10372300","10722800","10383600","10351000","10337500","10342400","10410900","10332800","20019000","10424100","10356300","10342600","10312200","11","20","43350"
"Pattern108 Fully automated business process pattern_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10370900","10266100","10360800","10437900","10421400","10286900","10313800","10299900","19998000","10232600","10135500","10142000","10134200","2","1","5910"
"Pattern116 Fully supported business process pattern Identification_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10410600","10133600","10323200","10189400","10066000","10009300","10186900","10146800","19626600","87266900","84928600","10404500","10278400","4","3","11329"
"Pattern141 PERSONALIZATION_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","10499500","11116900","10617100","10471000","10446300","10295000","10288600","10338200","22636100","1209921200","1186825200","10150300","10009800","86","112","268517"
"Pattern153 WEB PORTAL_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10205000","10493300","10242900","10160100","10102000","10051900","10098300","10135100","19968200","162223800","160560400","10358300","10157000","9","8","24904"
"Pattern156 KNOWLEDGE BASE_transformed.graphml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10180300","10126400","10042700","10105400","10191100","10050900","10001000","9982300","19576200","10132500","10016900","9973500","9971300","4","3","11346"
