"filename","failed_anlysis","CHATTY_SERVICE","CHATTY_SERVICE_imp","CYCLIC_DEPENDENCY","CYCLIC_DEPENDENCY_imp","DATA_SERVICE","DATA_SERVICE_imp","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","MESSAGE_CHAIN_imp","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CHATTY_SERVICE_imp_ns","CYCLIC_DEPENDENCY_ns","CYCLIC_DEPENDENCY_imp_ns","DATA_SERVICE_ns","DATA_SERVICE_imp_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","MESSAGE_CHAIN_imp_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"2 Command v1_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","9042100","1139300","8823000","8993100","8967600","1165900","8988700","8982000","8932000","1186500","8926500","8849300","17289500","210585000","210281200","9155100","9149800","17","27","58925"
"2 continuous integration_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","9255200","1124600","9166600","9484300","9080700","1317500","9148000","9180900","9024200","1239200","8978000","8957800","17140200","101857500","117850800","9021900","8914100","14","24","51850"
"2 generic subdomains_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","9176700","1235500","9218700","9318400","8971700","1221700","8886900","9105800","8949200","1048600","8856300","10460200","17653000","164518600","164819400","8997300","8926200","19","40","77753"
"2 intention-revealing interfaces_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","9230300","1628800","9053500","9112300","9109800","986400","8792200","8874500","8815100","1025900","8704900","8814700","17009800","9032300","8885600","8809400","8719300","9","9","26000"
"2 layered architecture_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","1","0","9137200","1064700","9068800","10318200","9082900","1014100","9077500","9000800","9005800","1098200","8959000","9040200","23125100","243181700","257536900","9350300","9087700","82","87","239096"
"2 Observations and Measurements_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2 system metaphor_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","1","0","9060100","1115000","9191400","9140500","8942000","964200","8667500","8899500","8823200","1082700","9019400","8866800","17009300","110694500","102529400","9375300","8843800","9","14","34113"
"20 most optimal one Subdomain per Bounded Context_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","8896200","970300","8848600","9203700","8827400","1025300","8838800","9024600","8908000","1081700","9273100","9409100","17553700","165040300","178535000","9009200","9087900","16","30","61240"
"21 the same physical entity in different contexts_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","9100000","1358300","8942700","9064900","8866800","1111900","9067600","9069000","8871600","1110500","8798300","8850300","17367200","102403800","102203300","9178100","8903400","23","34","75663"
"3 Composite v1_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","9108300","1212900","8986600","8961600","8851400","946900","8893700","8871500","8886300","1060700","9182700","9110100","17959200","267738400","334579700","8923600","9091600","28","30","77993"
