"filename","failed_anlysis","CHATTY_SERVICE","CHATTY_SERVICE_imp","CYCLIC_DEPENDENCY","CYCLIC_DEPENDENCY_imp","DATA_SERVICE","DATA_SERVICE_imp","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","MESSAGE_CHAIN_imp","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CHATTY_SERVICE_imp_ns","CYCLIC_DEPENDENCY_ns","CYCLIC_DEPENDENCY_imp_ns","DATA_SERVICE_ns","DATA_SERVICE_imp_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","MESSAGE_CHAIN_imp_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"additional patterns 2 Martins Clean Architecture BAD_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8941400","912500","8999500","9273500","9630600","947600","8783600","8717900","8696900","850300","8696100","8686500","20062200","772692400","772340200","8765100","8718500","90","119","284220"
"additional patterns 2 Martins Clean Architecture GOOD_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","9064900","974100","9001600","9114300","8766800","879900","8719700","8749400","8675800","878000","8615200","8643100","21263300","785786600","773099600","8948400","8691600","111","123","318087"
"Alastria_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8929000","867400","12492500","1852120500","8978900","896500","8927500","8781400","8717400","854000","9038200","8794400","100945700","1225718400","1222285300","8893100","9762600","156","289","596918"
"alo_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8723000","806700","8484600","8550900","8542700","757300","8547800","8718300","8745000","851900","8534100","8734700","16512800","8740800","8764100","8681500","8576900","4","0","7285"
"AMS2020_G010_E!_transformed.graphml","0","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","0","0","8915200","1131400","9067300","15044000","9128700","1214400","8685600","8801500","8789100","1287500","8867800","8869200","17666900","953110300","1135226400","8706500","8627000","80","137","293044"
"analysis patterns overview_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8674700","836200","8453800","8588200","8731700","760700","8616400","8628400","8615800","928700","8541700","8529500","16745700","8734700","8673900","8520600","9382000","12","0","18119"
"Andromeda Games_transformed.graphml","0","0","1","1","1","0","0","1","0","0","0","0","1","1","0","1","1","0","9061900","1655100","9058700","9648800","9154100","1111100","9160200","8990200","8938100","1363100","8849300","8898700","43370500","1697394800","2053340700","9019800","9016400","311","246","761032"
"App Store_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","9033500","1210800","8854500","8983400","9010400","1084100","8831100","8914500","11465700","1110800","8828900","8745600","16814200","8930200","8877700","9214600","8733900","10","13","31803"
"application-collaboration_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","8794300","889100","8648600","8881900","9323900","811900","8724600","8837600","8828700","895800","8580200","8642800","16718200","71090200","70841900","8602500","8573600","7","7","20653"
"Archi StyledHtml module_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8643900","849000","8478700","8804300","8540600","746400","8521600","8688500","8547700","794200","8573100","8551300","16602000","8953800","8708100","8515500","8552500","0","0","1329"
"Archimate recipes_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","8846100","935300","8681200","8768800","8651000","771800","8692300","8673200","11058700","814700","8542800","8591400","36556900","684607200","789700500","8925900","9255100","101","84","254004"
"ArchiMate template_transformed.graphml","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","8922300","1086200","8791400","8947400","9084400","1338400","8995900","8856800","8858300","1044500","8905100","8813900","16885500","218593600","280025900","8824100","8756800","20","26","61633"
"Archimate-kurs del 1_transformed.graphml","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","8804000","1175600","8729000","8886400","8964300","1011600","8821000","8857300","8639400","965400","8602100","8603900","16845200","124704700","148744800","8762700","8660200","25","17","58968"
"archimate_architecture_model_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8888000","854100","8532800","8687500","8568300","777600","8537600","8678000","8847900","821700","8711400","8583300","16588300","8755300","8681600","8594800","8559600","0","0","1329"
"Archisurance Senario 2_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8792000","954200","8932100","9591200","8900000","1035800","8749600","9353900","8718500","1034600","8576900","8762500","24476200","750840500","850463100","8940200","8812500","132","135","352102"
"Archisurance_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8867100","1011300","9064100","11279300","9314700","1043000","8835200","8983600","8739600","1045200","8661600","8714200","20130300","614313600","617539400","8825800","8835300","155","155","405196"
"Architecture Model_transformed.graphml","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","1","1","0","9027300","961100","8817000","10067500","8984300","1251100","9556300","8937300","8795600","1008200","8719200","8732800","31821600","694028200","928387500","9241800","8865300","270","129","561662"
"architecture scenario_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","8692700","943300","8623900","8602500","8710000","945000","8558700","8821800","8616500","856500","8625800","8655700","16744300","8793900","8770100","8657200","8610500","11","11","31290"
"architecture_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8743300","920300","8533200","8647200","8577200","782900","8501100","8678700","8587200","803300","8652300","8578100","16641300","8668000","8746200","8585000","8571200","3","3","9836"
"Archivatrion_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8647500","813200","8818100","8806400","8760100","836100","8573600","8693100","8644400","915400","8553300","8590000","16860400","93797200","178724600","8726300","8618700","14","10","33225"
"Archi_Sample2_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8700200","872100","8540500","8540200","8653600","903300","8616900","8701900","8621300","935600","8576700","8553000","16781100","8778200","8684600","8595200","8532400","12","2","20693"
"Archi_Sample_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","9031100","911400","8518800","8556800","8685700","987400","8561500","8716200","8657000","907900","8756900","8690900","16910100","8660500","8821300","8807800","8859700","12","2","20693"
"ArquitecturaAU_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0","8870600","872000","8634500","8770800","8637700","792000","8787000","8797400","8712800","840100","8831600","9113900","20095500","497437500","602115300","8743200","8599700","61","41","140838"
"arquitectura_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8646800","830000","8519800","8542300","8574700","818500","8613200","8725600","8612000","797600","8522400","8600700","16481300","8690300","8653900","8563000","8547800","0","0","1329"
"ArquiteturaModular_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8678600","842200","8565900","8495900","8636300","842700","8584900","8569800","8537900","792000","8495600","8524800","16535900","8650200","8670300","8640700","8520500","0","0","1329"
"Assignment06_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8808600","912700","8549100","8566200","8659900","860100","8646800","8735300","8738000","935900","8585100","8547400","16508900","101475200","101660600","8870600","8666900","8","10","26100"
"Association Table Mapping_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8779900","911400","8707700","8739400","8703700","863300","8617100","8859600","8711100","928700","8591600","8575100","16524400","8713400","8711900","8557700","8687900","0","0","1329"
"Auditoria_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8743700","969000","8509800","8517600","8674600","858600","8615600","8719400","8632200","946600","8568600","8544000","16750000","39767300","39857100","8598700","8653600","6","5","16808"
"BA_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","8703900","977600","8574400","8717700","8689100","874000","8602500","8683000","8651100","897800","8733300","8640500","16565200","8771900","8709500","8657100","8547500","14","0","21092"
"Big Brother_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8610800","833800","8512400","8534400","8503900","776400","8719400","8972300","8630800","842900","8521900","8537100","16503400","8719300","8642200","8536700","8508900","0","0","1329"
"BPM Landscape Type 1_transformed.graphml","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8979700","1199400","8538300","8737000","8850700","990200","8488900","8609600","8616200","1047600","8563300","8563600","16541500","8792800","8837000","8616700","8532300","9","15","33704"
"Business-Functions_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","8748700","900500","8641100","9071400","9504200","1029900","8575300","8755800","8743700","1032800","8722400","8841800","17252700","433880900","426581900","11261800","8828500","28","51","107761"
"C2_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","8843400","886600","8750900","8833900","8887600","908900","8797300","8716400","8642500","872000","8561300","8612900","16876500","8774400","8664900","8561900","8541000","16","29","62372"
"Class Table Inheritance_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8619800","814500","8507000","8663900","8551900","764000","8479700","8640300","8726500","833900","8601400","8586900","16415000","8665000","8840000","9461000","8724500","0","0","1329"
"Client Session State_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8844200","886000","8674400","8787000","8721700","838400","8674300","8876000","8681200","820800","8573400","8558600","16399400","8651200","8789100","8538400","8527400","0","0","1329"
"ClientBM_transformed.graphml","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","8776300","892200","8717200","8768900","8789900","908700","8693300","8733400","8588300","923600","8615000","8600700","18473400","274583100","227101100","8667700","8584400","84","100","250282"
"Cloud Computing_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","8659800","804500","8535700","8551800","8634900","790600","8514900","8806900","8621300","874500","8542800","8519800","16740200","8755100","8825400","8758700","8550400","5","6","16229"
"Coarse-Grained Lock_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8816600","817800","8679400","8516200","8537900","782900","8520600","8866400","8601700","811300","8516800","8532800","16581900","8626700","8698600","8564900","8614100","0","0","1329"
"CoffeeNow_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","1","1","1","1","0","0","8931400","968900","9195300","9959900","8950900","909800","8762200","8825300","8811400","937700","8724600","8790900","19231800","429450100","459088800","8740800","8570300","75","96","233449"
"ComponentesAU_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","8692300","919900","8532100","8517900","8628900","908000","8503500","8730900","8651900","959500","8587800","8606000","16605200","55267800","55281700","8721800","8578500","5","7","17907"
"ComponentesNotification_transformed.graphml","0","0","0","1","1","0","0","1","1","1","1","0","0","1","0","0","0","0","16221300","1129400","8912500","9258800","9197100","1012300","8718200","8729900","9143800","1350300","8565700","8554900","17152500","55545900","55337600","8629900","8603600","28","27","76315"
"Concrete Table Inheritance_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8644500","790600","8595400","8515500","8519400","761000","8678700","8676700","8625800","808300","8473400","8549300","16581100","8985400","8854800","8636700","8536000","0","0","1329"
"Create_resource_transformed.graphml","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","8890900","1137600","8617700","8638700","8739400","974600","8519000","8631800","8956600","1235100","9253400","8569200","16743300","8702200","8717400","8602100","8545700","11","12","33001"
"Dansk på norsk_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","9473000","1006100","8635400","8669900","8818100","1122100","8754900","8840800","8809300","1051800","8681500","8614700","18748700","9005700","8792300","9036900","8595500","95","77","280465"
"Data API Source_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","8822300","1103500","8704400","8710200","8805300","933000","8587100","8851400","8704200","1072000","8588700","8563800","16663100","39831200","39845400","8708000","8594400","11","14","34534"
"Data Catalogue_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8644900","861800","8551700","8647200","8565300","752800","8612300","8618400","8565800","852100","8654400","8686600","16630600","8696300","8699000","8624100","8599400","8","0","12873"
"Data Mapper_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8723500","817700","8453100","9406200","8596000","785300","8661400","8740100","8564400","817400","8511900","8502400","16485500","8733500","8594100","8530100","8560000","0","0","1329"
"Data Transfer Object_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8615000","778600","8674400","8592100","8587200","794700","8548400","8635800","8671800","815000","8609900","8606300","16579600","8906600","9529300","8961500","8884000","4","0","7158"
"Database Session State_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8648600","868100","8559400","8507400","8526300","793000","8578100","8670700","8615100","832700","8543300","8526600","16478500","8653000","8614400","8522800","8548500","1","0","3045"
"Database Source_transformed.graphml","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","8697400","1036500","8781500","8762400","8755700","913600","8501100","8634100","8654200","1031100","8543800","8576400","16562700","8676400","8714400","8749100","8543700","7","10","23974"
"dependency injection_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","8661300","842300","8582700","8586000","8595300","799800","8500900","8785600","8609900","797200","8547500","8565200","16864500","241385200","241474400","8708700","8657700","25","28","72104"
"Dependent Mapping_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8906500","978100","8606300","8715500","8624300","787800","8575900","8755000","8665100","931600","8569200","8593000","16694000","8724500","8682200","8601600","8553800","0","0","1329"
"deployments_transformed.graphml","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","8916800","968700","8591100","8601200","8764600","951400","8933900","8737400","8650400","915700","8608400","8579000","43277400","8941700","8802800","8598900","8573900","109","34","190673"
"Deployment_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","8871100","1008100","9036100","8634600","8725800","978800","8738400","10365000","8766500","1008800","8866700","8766100","18904100","424955900","411453600","8675700","8639800","83","55","184199"
"design patterns overview_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8666900","778500","11020800","8590500","8659200","765000","8518600","8721500","8602800","881200","8508000","8654000","16518500","8794300","8702400","8582800","8591800","0","0","1329"
"DeviceReader_transformed.graphml","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","8686700","814300","8572100","8600200","8647900","782900","8611700","8650300","8695400","795500","8554100","8551500","16929200","209746600","225528200","8692100","8713500","21","24","62617"
"DiagramaDeDespliegue_transformed.graphml","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","0","9530800","1859800","10388100","53020000","9135100","1042200","8869900","8956200","9121500","1443900","9322200","9110100","68608300","809262400","830140000","8805900","8679800","226","385","820823"
"DiagramasArchi_transformed.graphml","0","0","0","0","1","0","0","1","1","1","1","0","0","1","1","1","0","0","8937300","1339800","8869700","9066500","9009700","1112700","8609800","8810400","9131600","1641700","8673100","8656800","19422200","1087383800","1099231300","8642300","8614200","108","157","359183"
"Difi internt_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8623800","794300","8636800","8599600","8652000","804100","8678800","8793800","8764200","923900","8665100","8805300","17439500","8741000","8580800","8542800","8552500","23","0","33456"
"DLR-NVA_transformed.graphml","0","1","1","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","9610400","2306400","8731300","8828200","8966400","1024500","8571300","8689200","10456500","2833000","8642900","8525600","27416100","8980300","8791300","8605000","8539200","41","76","160226"
"DMS light_transformed.graphml","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","1","0","0","8662100","788100","8604200","8815100","8743500","835800","8737400","8747000","8812700","832600","8722300","8626800","16828600","271934400","287506100","8619600","8570600","29","41","95893"
"docker-swarm_transformed.graphml","0","0","0","1","1","1","1","1","0","1","1","0","1","1","0","0","0","1","8963300","1253000","8925200","9423100","9282600","1198300","9110000","8843500","8960000","1252100","8628400","8798700","159264000","8918900","8701000","8764900","8858800","137","26","218281"
"Domain Model_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8738100","843500","8581400","8655400","8618800","814200","8577400","8654700","8715200","892300","8549100","8554700","16482300","8734300","8670500","8651000","8541600","0","0","1329"
"EKOODI-suunnittelumallit_transformed.graphml","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","8803100","879000","8588600","8630300","8574800","763000","8548500","8712100","9084400","837500","8541300","8549900","17349700","335362600","334916900","8716400","8757900","37","49","113730"
"Embedded Value_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8807700","902300","9508900","9603600","8666500","883200","8643200","8844100","8733000","866500","8619300","8624600","16504500","8792700","9003600","8603500","8606700","0","0","1329"
"Enterprise dApp Reference Model1_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8944600","890300","8467500","8621200","8655200","841300","8513100","8699100","8555100","844400","8559300","8546000","16538900","8667900","8688800","11061300","8632100","4","0","7311"
"Enterprise dApp Reference Model2_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8585000","838600","8650800","8634500","8672500","901400","8721100","8838000","8757100","914800","8572800","8562900","16554300","8694000","8691300","8520800","8531100","4","0","7311"
"enterprise pattern template_transformed.graphml","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","8820500","904100","8578400","8662000","8618600","803900","8550300","8633700","8587700","1005600","8857500","8692800","16758200","117248900","117050100","8650000","8693600","9","9","25185"
"enterprise patterns overview_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8638000","833300","8512600","8547000","8543300","746600","8484700","8756500","8538600","796900","8551900","8521800","16564700","8877000","8862800","8653800","8588900","0","0","1329"
"epp-price_transformed.graphml","0","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","0","0","8726000","993000","8698500","9057800","8732600","907300","8603000","8656000","8641600","926100","8547800","8572900","17675100","474390000","473838600","8646100","8606200","56","71","172024"
"Essential_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8633900","813800","8573300","8554400","8589800","722200","8548700","8595400","8546300","833100","8536400","8520100","16568400","8711100","8757200","8638300","8631100","0","0","1329"
"Ethereum_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","1","1","0","1","0","0","8669300","783300","8655100","8795700","8595300","756300","8606200","8663300","8590800","824400","8564900","8605500","17254800","334386700","350277200","8712000","9931600","54","54","147247"
"Example extension by specialisation_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8600600","783900","8495500","8615100","8799600","747800","8668900","8680400","8634300","838200","8584600","8612700","17060800","8758300","8641400","8583600","8562800","0","0","1329"
"FastClaim_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8787200","856800","8677600","8630200","8717900","810500","8576000","8688700","8685200","849400","8543100","8625400","16739500","8720200","8765100","8629900","8667400","5","4","13619"
"Foreign Key Mapping_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8616200","785800","8519200","8503500","8665700","852200","8545100","8722100","8717000","846800","8649200","8663200","16767900","8678400","8671100","8617500","8636400","0","0","1329"
"Front Controller_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8638800","844800","8578400","8564500","8546400","816200","8707800","8700700","8673500","798200","8492400","8540700","16415700","8686000","8624800","8538400","8509700","0","0","1329"
"Gambo_transformed.graphml","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","8838800","903700","8644700","8689800","8736100","944200","8684200","8692500","8710400","922800","8608800","8650900","17410100","461373500","462891000","9128900","9021600","55","58","153855"
"GateKeeper_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","9769200","1183500","9297800","9062600","8860200","958700","8791100","8733300","8880100","1001000","9011300","9222900","17761400","9080200","9547800","9022700","9382800","18","3","29920"
"Gateway_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8873600","1092900","8832600","8791500","8877300","892400","8818100","8857100","8988700","1107900","8785000","9169600","16940100","8921300","8829200","8990800","9002100","0","0","1329"
"GroundUpDB_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"gsip link data broker_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"gsip linked data store_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"gsip_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HealthDB_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","8800400","912500","8567100","8916100","10869700","1088200","8787400","8963300","8822700","1070900","8841100","9113900","17544300","120733200","149253800","8930000","9166200","11","11","31258"
"IaaS_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","9627000","1127600","8772100","8835900","8907700","1192500","8645600","8776400","8723600","1029500","8728400","8969100","16699100","8835200","12514300","8731900","8675000","7","9","22625"
"Idea 2 Run_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8760600","862600","8553900","8644400","8696800","856500","18723100","8762000","8799500","886500","8766100","8898100","16784000","9038700","8918900","8704800","8644000","0","0","1329"
"Identity Field_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8695500","959900","8712400","8604200","8667700","804600","8558100","8619600","8608200","806400","8646400","8605400","16482500","8670400","8666400","8610800","8609400","0","0","1329"
"Identity Map_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8604800","829600","8644000","8621600","8598200","792300","8565000","8646100","8586600","809900","8503200","8620000","16656900","8926600","9015700","8935700","8882700","0","0","1329"
"implementation-architecture_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","8813200","1019300","10239300","8876900","8911400","1000300","8759400","8828800","8869100","945800","8708900","8713200","16650500","39824000","39998500","8799700","8718300","16","15","43258"
"Implicit Lock_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8677000","797300","8580200","8595000","8511800","762300","8989200","8570100","8621300","917200","8696800","8784000","16711900","8809800","9081100","8720800","8516600","0","0","1329"
"InfoSec_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","9108100","907400","9152100","8968100","8662500","772600","8770500","8716400","8778700","847000","8555100","8599900","26461100","976107800","1937203400","8883700","8655800","140","119","359015"
"Inheritance Mappers_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8662600","803700","8598700","8650500","8631900","818600","8486000","8740500","8661600","845500","8576000","8551200","16442100","8753800","8687800","8544600","8526800","0","0","1329"
"integration of bouded contexts through database _transformed.graphml","0","0","0","1","1","1","1","0","1","0","0","0","0","1","0","1","0","0","8942500","1064700","9005500","9041300","8924600","1038100","8681300","8846900","9007700","970300","8714500","8725800","19308000","523914000","522188400","8679600","8732800","56","111","217560"
"Integration of bouded contexts through flat files_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","8870100","1039000","8857500","8943400","8788000","914500","8587400","8616300","8644800","906200","8528700","8616100","18933800","521743600","523505100","8673500","8606100","54","107","209457"
"Internet Object_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","8698300","1016800","8524200","10895000","8703600","883100","8609700","8625600","8591700","970300","8589600","8605600","16697500","70629600","71771700","8529800","8617100","11","12","31984"
"Inversion of Control_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8757400","879100","8543200","8527300","8689100","815700","8501600","8562600","8623400","811000","8512500","8560500","16607600","8644800","8697900","8606000","8518400","4","2","9701"
"IPFS_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","8661800","785600","8619000","8671700","8593500","825300","8515700","8717600","8580900","818500","8533000","8622100","17267400","482522700","473434900","8761700","8675300","36","56","124859"
"ist_analyse0.7_transformed.graphml","0","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","0","0","8836900","953500","8954900","10007500","9181600","1113500","8666500","8692600","8643000","1060600","8890400","8927700","17425600","894892300","942864000","8726400","8747900","70","134","275272"
"ITPro2020Spring_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","8670500","996500","9432000","8571700","8776000","935800","8666900","8725900","8632800","950400","8637200","8723800","17936900","184130500","179222500","8589300","8615600","59","32","126596"
"Kong_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lab1_transformed.graphml","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","8670500","794000","8540900","8699100","8684100","777100","8487900","8647200","8588900","778100","8527400","8561300","16595800","117014300","116968400","8716500","8622700","14","10","33385"
"LaTiendecita_transformed.graphml","0","0","0","1","1","0","0","1","0","0","0","1","0","1","1","1","0","0","8865800","945300","9039900","9653100","9100200","1033000","9045000","8804600","8798200","989200","9039500","8708200","39084800","904800400","995493800","8942100","8924500","220","167","524821"
"Layer Supertype_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9942100","1198700","9672700","8896300","8806300","873900","8644300","9006800","8731500","881900","8756700","8656600","16575100","8885200","8722900","8671400","8612200","0","0","1329"
"Layered_Viewpoint_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","8834500","870300","8754700","8802600","8843500","1013100","8646900","8753600","8958500","924200","8626200","8557000","16513700","164067700","163537600","8687300","8607100","22","29","70350"
"Lazy Load_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8754200","908400","8623400","8749000","8808200","814200","8617000","8780400","8718800","902100","8810400","8700900","16618400","8863100","8785100","8638200","8632500","0","0","1329"
"LDT_transformed.graphml","0","1","1","1","1","0","0","1","1","0","0","0","0","1","0","1","0","0","9194600","1265100","8873900","9031500","8882400","1029700","8807900","8744300","9029900","1160000","8784700","8681400","17652000","349553800","411895900","8941200","8866800","59","53","149545"
"legend_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8620400","852000","8553600","8540000","9615400","877500","8646900","8686200","8616600","943100","8506300","8554300","16450000","8690000","8608100","8542100","8543600","7","0","11259"
"MAM_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","8735200","977600","8536500","8584500","8639000","910100","8473100","8631400","8692000","999900","8545900","8546700","16578900","8658600","8694000","8724900","8948100","10","13","31854"
