data/mmorga/archi-tools-rb/test/examples/diff1.archimate,diff1.archimate,https://raw.githubusercontent.com/mmorga/archi-tools-rb/e140502c5e76902de896c0a99d540ac9e7ca48bd/test/examples/diff1.archimate,1464
data/wilmerkrisp/patterns/domain driven design patterns/F additional/clean architecture/clean1.archimate,clean1.archimate,https://raw.githubusercontent.com/wilmerkrisp/patterns/95c7c940d462b618b912d6524cb2aadfbbe52f08/domain%20driven%20design%20patterns/F%20additional/clean%20architecture/clean1.archimate,1267
data/mmorga/archi-tools-rb/test/examples/merger_1_2.archimate,merger_1_2.archimate,https://raw.githubusercontent.com/mmorga/archi-tools-rb/e140502c5e76902de896c0a99d540ac9e7ca48bd/test/examples/merger_1_2.archimate,2049
data/federal-geospatial-platform/fgp-metadata-proxy/docs/model.archimate,model.archimate,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/26845df26f81d6159423af313fe9760fb928b232/docs/model.archimate,1588
data/mmorga/archi-tools-rb/test/examples/merger_1_merged.archimate,merger_1_merged.archimate,https://raw.githubusercontent.com/mmorga/archi-tools-rb/e140502c5e76902de896c0a99d540ac9e7ca48bd/test/examples/merger_1_merged.archimate,2372
data/nattimmis/ArchiEdu/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,testmodel1.archimate,https://raw.githubusercontent.com/nattimmis/ArchiEdu/ac471666a89dcd7e5184119fe4a104c5d7553811/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,3235
data/wilmerkrisp/patterns/domain driven design patterns/F additional/Inversion of Control principle/Inversion of Control.archimate,Inversion of Control.archimate,https://raw.githubusercontent.com/wilmerkrisp/patterns/95c7c940d462b618b912d6524cb2aadfbbe52f08/domain%20driven%20design%20patterns/F%20additional/Inversion%20of%20Control%20principle/Inversion%20of%20Control.archimate,3523
data/mmorga/archi-tools-rb/test/examples/location.archimate,location.archimate,https://raw.githubusercontent.com/mmorga/archi-tools-rb/e140502c5e76902de896c0a99d540ac9e7ca48bd/test/examples/location.archimate,3439
data/mmorga/archi-tools-rb/test/examples/archi-v3-viewpoints.archimate,archi-v3-viewpoints.archimate,https://raw.githubusercontent.com/mmorga/archi-tools-rb/e140502c5e76902de896c0a99d540ac9e7ca48bd/test/examples/archi-v3-viewpoints.archimate,3496
data/nattimmis/ArchiEdu/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,testFindReplace.archimate,https://raw.githubusercontent.com/nattimmis/ArchiEdu/ac471666a89dcd7e5184119fe4a104c5d7553811/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,3461
data/florezfernandez/ArchiAnalysis/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,testmodel1.archimate,https://raw.githubusercontent.com/florezfernandez/ArchiAnalysis/b04ae85daf9a66a0467cd6db760d9acbce7a58fe/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,3227
data/vivikaing/ArchiSmartCity/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,testmodel1.archimate,https://raw.githubusercontent.com/vivikaing/ArchiSmartCity/60ef9ae9bae0886367c17f444ab57e749fc39ae2/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,3184
data/florezfernandez/ArchiAnalysis/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,testFindReplace.archimate,https://raw.githubusercontent.com/florezfernandez/ArchiAnalysis/b04ae85daf9a66a0467cd6db760d9acbce7a58fe/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,3462
data/vivikaing/ArchiSmartCity/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,testFindReplace.archimate,https://raw.githubusercontent.com/vivikaing/ArchiSmartCity/60ef9ae9bae0886367c17f444ab57e749fc39ae2/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,3461
data/archimatetool/archi/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,testmodel1.archimate,https://raw.githubusercontent.com/archimatetool/archi/2fc3b07eeb4412ac7a0df97389a75d2d722fcb0b/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,3235
data/wilmerkrisp/patterns/domain driven design patterns/E Large-scale structure/4 knowledge level.archimate,4 knowledge level.archimate,https://raw.githubusercontent.com/wilmerkrisp/patterns/95c7c940d462b618b912d6524cb2aadfbbe52f08/domain%20driven%20design%20patterns/E%20Large-scale%20structure/4%20knowledge%20level.archimate,4216
data/archimatetool/archi/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,testFindReplace.archimate,https://raw.githubusercontent.com/archimatetool/archi/2fc3b07eeb4412ac7a0df97389a75d2d722fcb0b/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,3461
data/mmorga/archi-tools-rb/test/examples/viewpoint_types.archimate,viewpoint_types.archimate,https://raw.githubusercontent.com/mmorga/archi-tools-rb/e140502c5e76902de896c0a99d540ac9e7ca48bd/test/examples/viewpoint_types.archimate,4512
data/wilmerkrisp/patterns/domain driven design patterns/B supple design/7 closure of operations.archimate,7 closure of operations.archimate,https://raw.githubusercontent.com/wilmerkrisp/patterns/95c7c940d462b618b912d6524cb2aadfbbe52f08/domain%20driven%20design%20patterns/B%20supple%20design/7%20closure%20of%20operations.archimate,4404
data/nattimmis/ArchiEdu/tests/com.archimatetool.editor.tests/testdata/models/testCopySnapshot.archimate,testCopySnapshot.archimate,https://raw.githubusercontent.com/nattimmis/ArchiEdu/ac471666a89dcd7e5184119fe4a104c5d7553811/tests/com.archimatetool.editor.tests/testdata/models/testCopySnapshot.archimate,4571
data/sanketgupta99/archimatetool/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,testmodel1.archimate,https://raw.githubusercontent.com/sanketgupta99/archimatetool/7f18213fbb82867afe413757d71207f4bb715d03/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,3235
data/sanketgupta99/archimatetool/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,testFindReplace.archimate,https://raw.githubusercontent.com/sanketgupta99/archimatetool/7f18213fbb82867afe413757d71207f4bb715d03/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,3461
data/vivikaing/ArchiSmartCity/tests/com.archimatetool.editor.tests/testdata/models/testCopySnapshot.archimate,testCopySnapshot.archimate,https://raw.githubusercontent.com/vivikaing/ArchiSmartCity/60ef9ae9bae0886367c17f444ab57e749fc39ae2/tests/com.archimatetool.editor.tests/testdata/models/testCopySnapshot.archimate,4571
data/archimatetool/archi/tests/com.archimatetool.editor.tests/testdata/models/testCopySnapshot.archimate,testCopySnapshot.archimate,https://raw.githubusercontent.com/archimatetool/archi/2fc3b07eeb4412ac7a0df97389a75d2d722fcb0b/tests/com.archimatetool.editor.tests/testdata/models/testCopySnapshot.archimate,4571
data/archimatetool/archi/tests/com.archimatetool.modelimporter.tests/testdata/test.archimate,test.archimate,https://raw.githubusercontent.com/archimatetool/archi/2fc3b07eeb4412ac7a0df97389a75d2d722fcb0b/tests/com.archimatetool.modelimporter.tests/testdata/test.archimate,4561
data/sanketgupta99/archimatetool/tests/com.archimatetool.editor.tests/testdata/models/testCopySnapshot.archimate,testCopySnapshot.archimate,https://raw.githubusercontent.com/sanketgupta99/archimatetool/7f18213fbb82867afe413757d71207f4bb715d03/tests/com.archimatetool.editor.tests/testdata/models/testCopySnapshot.archimate,4571
data/sanketgupta99/archimatetool/tests/com.archimatetool.modelimporter.tests/testdata/test.archimate,test.archimate,https://raw.githubusercontent.com/sanketgupta99/archimatetool/7f18213fbb82867afe413757d71207f4bb715d03/tests/com.archimatetool.modelimporter.tests/testdata/test.archimate,4561
data/tgfranck/archifiguredelegates/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,testmodel1.archimate,https://raw.githubusercontent.com/tgfranck/archifiguredelegates/1c3ad6afc3a059320412883ac1c67d8bac908e6f/tests/com.archimatetool.editor.tests/testdata/models/testmodel1.archimate,3235
data/tgfranck/archifiguredelegates/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,testFindReplace.archimate,https://raw.githubusercontent.com/tgfranck/archifiguredelegates/1c3ad6afc3a059320412883ac1c67d8bac908e6f/tests/com.archimatetool.editor.tests/testdata/models/testFindReplace.archimate,3461
